id,constituency,state,party,first_votes,second_votes
183,Frankfurt am Main II,Hessen,afd,7990,8188
184,Groß-Gerau,Hessen,afd,10880,11246
185,Offenbach,Hessen,afd,11851,12055
186,Darmstadt,Hessen,afd,11210,12194
187,Odenwald,Hessen,afd,14961,15983
188,Bergstraße,Hessen,afd,14351,14376
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,afd,34643,34295
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,afd,38166,37732
191,Jena – Sömmerda – Weimarer Land I,Thüringen,afd,29578,30264
192,Gotha – Ilm-Kreis,Thüringen,afd,37244,36509
193,Erfurt – Weimar – Weimarer Land II,Thüringen,afd,27234,26805
194,Gera – Greiz – Altenburger Land,Thüringen,afd,48043,46667
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,afd,48175,46379
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,afd,35887,44573
197,Neuwied,Rheinland-Pfalz,afd,16812,17505
198,Ahrweiler,Rheinland-Pfalz,afd,10823,11322
199,Koblenz,Rheinland-Pfalz,afd,9753,10426
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,afd,10645,11061
201,Kreuznach,Rheinland-Pfalz,afd,12973,13510
202,Bitburg,Rheinland-Pfalz,afd,7947,8784
203,Trier,Rheinland-Pfalz,afd,8220,8995
204,Montabaur,Rheinland-Pfalz,afd,14024,14499
205,Mainz,Rheinland-Pfalz,afd,10316,10789
206,Worms,Rheinland-Pfalz,afd,16043,17033
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,afd,17740,18075
208,Neustadt – Speyer,Rheinland-Pfalz,afd,17204,17499
209,Kaiserslautern,Rheinland-Pfalz,afd,20002,20702
210,Pirmasens,Rheinland-Pfalz,afd,16462,17129
211,Südpfalz,Rheinland-Pfalz,afd,16658,17703
212,Altötting,Bayern,afd,14218,13941
213,Erding – Ebersberg,Bayern,afd,11447,12226
214,Freising,Bayern,afd,18041,17515
215,Fürstenfeldbruck,Bayern,afd,13056,13209
216,Ingolstadt,Bayern,afd,17806,18694
217,München-Nord,Bayern,afd,7588,8250
218,München-Ost,Bayern,afd,8058,8978
219,München-Süd,Bayern,afd,7640,7909
220,München-West/Mitte,Bayern,afd,7594,8403
221,München-Land,Bayern,afd,9816,10488
222,Rosenheim,Bayern,afd,15767,16578
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,afd,,10909
224,Starnberg – Landsberg am Lech,Bayern,afd,10695,11050
225,Traunstein,Bayern,afd,12668,14026
226,Weilheim,Bayern,afd,9696,10886
227,Deggendorf,Bayern,afd,17432,17911
228,Landshut,Bayern,afd,19186,19973
229,Passau,Bayern,afd,16212,16020
230,Rottal-Inn,Bayern,afd,16808,16384
231,Straubing,Bayern,afd,16792,17400
232,Amberg,Bayern,afd,17811,17950
233,Regensburg,Bayern,afd,16556,17342
234,Schwandorf,Bayern,afd,23141,23507
235,Weiden,Bayern,afd,13522,14897
236,Bamberg,Bayern,afd,13279,14284
237,Bayreuth,Bayern,afd,10777,11635
238,Coburg,Bayern,afd,11873,12837
239,Hof,Bayern,afd,14705,14560
240,Kulmbach,Bayern,afd,14415,15774
241,Ansbach,Bayern,afd,18417,19141
242,Erlangen,Bayern,afd,10671,10872
243,Fürth,Bayern,afd,16857,17692
244,Nürnberg-Nord,Bayern,afd,8485,8887
245,Nürnberg-Süd,Bayern,afd,13118,12898
246,Roth,Bayern,afd,14943,16042
247,Aschaffenburg,Bayern,afd,13955,13715
248,Bad Kissingen,Bayern,afd,17131,18435
249,Main-Spessart,Bayern,afd,12575,13919
250,Schweinfurt,Bayern,afd,15467,15686
251,Würzburg,Bayern,afd,,12214
252,Augsburg-Stadt,Bayern,afd,13431,13888
253,Augsburg-Land,Bayern,afd,19660,19481
254,Donau-Ries,Bayern,afd,15723,17135
255,Neu-Ulm,Bayern,afd,22525,22323
256,Oberallgäu,Bayern,afd,14475,14350
257,Ostallgäu,Bayern,afd,20020,19772
258,Stuttgart I,Baden-Württemberg,afd,6295,6590
259,Stuttgart II,Baden-Württemberg,afd,9603,9539
260,Böblingen,Baden-Württemberg,afd,16176,16810
261,Esslingen,Baden-Württemberg,afd,9123,9733
262,Nürtingen,Baden-Württemberg,afd,13592,14321
263,Göppingen,Baden-Württemberg,afd,15818,15413
264,Waiblingen,Baden-Württemberg,afd,15195,15473
265,Ludwigsburg,Baden-Württemberg,afd,14394,14319
266,Neckar-Zaber,Baden-Württemberg,afd,18478,18701
267,Heilbronn,Baden-Württemberg,afd,23092,23829
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,afd,20579,21787
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,afd,15822,15990
270,Aalen – Heidenheim,Baden-Württemberg,afd,16973,17920
271,Karlsruhe-Stadt,Baden-Württemberg,afd,10808,10773
272,Karlsruhe-Land,Baden-Württemberg,afd,14964,15869
273,Rastatt,Baden-Württemberg,afd,16454,16331
274,Heidelberg,Baden-Württemberg,afd,10823,10821
275,Mannheim,Baden-Württemberg,afd,13772,12843
276,Odenwald – Tauber,Baden-Württemberg,afd,19372,19208
277,Rhein-Neckar,Baden-Württemberg,afd,15250,15647
278,Bruchsal – Schwetzingen,Baden-Württemberg,afd,17352,17461
279,Pforzheim,Baden-Württemberg,afd,22943,22030
280,Calw,Baden-Württemberg,afd,18668,19473
281,Freiburg,Baden-Württemberg,afd,8107,8854
282,Lörrach – Müllheim,Baden-Württemberg,afd,13981,14195
283,Emmendingen – Lahr,Baden-Württemberg,afd,14397,14969
284,Offenburg,Baden-Württemberg,afd,13875,15319
285,Rottweil – Tuttlingen,Baden-Württemberg,afd,20292,19747
286,Schwarzwald-Baar,Baden-Württemberg,afd,12794,13101
287,Konstanz,Baden-Württemberg,afd,13487,13341
288,Waldshut,Baden-Württemberg,afd,11406,11251
289,Reutlingen,Baden-Württemberg,afd,15354,15651
290,Tübingen,Baden-Württemberg,afd,12485,12549
291,Ulm,Baden-Württemberg,afd,15930,16045
292,Biberach,Baden-Württemberg,afd,13384,14216
293,Bodensee,Baden-Württemberg,afd,12584,11916
294,Ravensburg,Baden-Württemberg,afd,11730,12651
295,Zollernalb – Sigmaringen,Baden-Württemberg,afd,15553,16476
296,Saarbrücken,Saarland,afd,12569,13005
297,Saarlouis,Saarland,afd,15111,15651
298,St. Wendel,Saarland,afd,12339,12899
299,Homburg,Saarland,afd,16209,16066
1,Flensburg – Schleswig,Schleswig-Holstein,cdu,41721,36417
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,cdu,43771,35518
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,cdu,39434,32843
4,Rendsburg-Eckernförde,Schleswig-Holstein,cdu,47697,38527
5,Kiel,Schleswig-Holstein,cdu,28341,23867
6,Plön – Neumünster,Schleswig-Holstein,cdu,36869,30290
7,Pinneberg,Schleswig-Holstein,cdu,48888,41347
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,cdu,55264,44284
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,cdu,42989,35564
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,cdu,51838,45372
11,Lübeck,Schleswig-Holstein,cdu,24960,20757
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,cdu,31721,26403
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,cdu,26209,24623
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,cdu,27666,23106
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,cdu,33898,30911
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,cdu,31182,28684
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,cdu,29949,26407
18,Hamburg-Mitte,Hamburg,cdu,23241,19964
19,Hamburg-Altona,Hamburg,cdu,25516,22539
20,Hamburg-Eimsbüttel,Hamburg,cdu,27436,23845
21,Hamburg-Nord,Hamburg,cdu,43833,34406
22,Hamburg-Wandsbek,Hamburg,cdu,33081,29102
23,Hamburg-Bergedorf – Harburg,Hamburg,cdu,26514,25441
24,Aurich – Emden,Niedersachsen,cdu,24013,24061
25,Unterems,Niedersachsen,cdu,77143,52067
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,cdu,29286,28535
27,Oldenburg – Ammerland,Niedersachsen,cdu,34291,32097
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,cdu,40396,36637
29,Cuxhaven – Stade II,Niedersachsen,cdu,42085,36586
30,Stade I – Rotenburg II,Niedersachsen,cdu,52063,39965
31,Mittelems,Niedersachsen,cdu,72515,60728
32,Cloppenburg – Vechta,Niedersachsen,cdu,80133,62838
33,Diepholz – Nienburg I,Niedersachsen,cdu,49112,36915
34,Osterholz – Verden,Niedersachsen,cdu,50250,36169
35,Rotenburg I – Heidekreis,Niedersachsen,cdu,32716,31115
36,Harburg,Niedersachsen,cdu,46710,39848
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,cdu,34293,29017
38,Osnabrück-Land,Niedersachsen,cdu,54536,42864
39,Stadt Osnabrück,Niedersachsen,cdu,43318,34461
40,Nienburg II – Schaumburg,Niedersachsen,cdu,43818,33969
41,Stadt Hannover I,Niedersachsen,cdu,27286,23410
42,Stadt Hannover II,Niedersachsen,cdu,26196,22538
43,Hannover-Land I,Niedersachsen,cdu,55183,44530
44,Celle – Uelzen,Niedersachsen,cdu,51497,40986
45,Gifhorn – Peine,Niedersachsen,cdu,40280,37840
46,Hameln-Pyrmont – Holzminden,Niedersachsen,cdu,33575,29809
47,Hannover-Land II,Niedersachsen,cdu,45721,40612
48,Hildesheim,Niedersachsen,cdu,41282,36506
49,Salzgitter – Wolfenbüttel,Niedersachsen,cdu,39528,33445
50,Braunschweig,Niedersachsen,cdu,31272,25927
51,Helmstedt – Wolfsburg,Niedersachsen,cdu,34367,31827
52,Goslar – Northeim – Osterode,Niedersachsen,cdu,47188,33602
53,Göttingen,Niedersachsen,cdu,42955,34587
54,Bremen I,Bremen,cdu,39488,32435
55,Bremen II – Bremerhaven,Bremen,cdu,28384,23996
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,cdu,23433,19416
57,Uckermark – Barnim I,Brandenburg,cdu,22990,19825
58,Oberhavel – Havelland II,Brandenburg,cdu,39992,33373
59,Märkisch-Oderland – Barnim II,Brandenburg,cdu,40811,26260
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,cdu,29239,22276
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,cdu,26050,26288
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,cdu,38092,31302
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,cdu,22876,19890
64,Cottbus – Spree-Neiße,Brandenburg,cdu,21071,17502
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,cdu,19130,17777
66,Altmark,Sachsen-Anhalt,cdu,23431,22567
67,Börde – Jerichower Land,Sachsen-Anhalt,cdu,36641,32720
68,Harz,Sachsen-Anhalt,cdu,37886,30510
69,Magdeburg,Sachsen-Anhalt,cdu,34175,28698
70,Dessau – Wittenberg,Sachsen-Anhalt,cdu,39043,26740
71,Anhalt,Sachsen-Anhalt,cdu,32293,29822
72,Halle,Sachsen-Anhalt,cdu,30498,26281
73,Burgenland – Saalekreis,Sachsen-Anhalt,cdu,32649,26535
74,Mansfeld,Sachsen-Anhalt,cdu,32731,28411
75,Berlin-Mitte,Berlin,cdu,20002,16856
76,Berlin-Pankow,Berlin,cdu,23039,21261
77,Berlin-Reinickendorf,Berlin,cdu,34148,30246
78,Berlin-Spandau – Charlottenburg Nord,Berlin,cdu,28899,26260
79,Berlin-Steglitz-Zehlendorf,Berlin,cdu,48949,39980
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,cdu,34157,29105
81,Berlin-Tempelhof-Schöneberg,Berlin,cdu,38375,31836
82,Berlin-Neukölln,Berlin,cdu,25578,22691
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,cdu,13078,11985
84,Berlin-Treptow-Köpenick,Berlin,cdu,21141,20557
85,Berlin-Marzahn-Hellersdorf,Berlin,cdu,39403,21869
86,Berlin-Lichtenberg,Berlin,cdu,17693,16874
87,Aachen I,Nordrhein-Westfalen,cdu,35562,31772
88,Aachen II,Nordrhein-Westfalen,cdu,54809,49839
89,Heinsberg,Nordrhein-Westfalen,cdu,57093,46466
90,Düren,Nordrhein-Westfalen,cdu,55718,46217
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,cdu,63633,55066
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,cdu,65979,58085
93,Köln I,Nordrhein-Westfalen,cdu,31636,27695
94,Köln II,Nordrhein-Westfalen,cdu,50918,41834
95,Köln III,Nordrhein-Westfalen,cdu,28674,27485
96,Bonn,Nordrhein-Westfalen,cdu,44872,41551
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,cdu,60775,51481
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,cdu,70143,51795
99,Oberbergischer Kreis,Nordrhein-Westfalen,cdu,53757,44018
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,cdu,52680,48268
101,Leverkusen – Köln IV,Nordrhein-Westfalen,cdu,31197,33246
102,Wuppertal I,Nordrhein-Westfalen,cdu,31960,30526
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,cdu,44771,39420
104,Mettmann I,Nordrhein-Westfalen,cdu,47326,43354
105,Mettmann II,Nordrhein-Westfalen,cdu,38425,33256
106,Düsseldorf I,Nordrhein-Westfalen,cdu,54154,44888
107,Düsseldorf II,Nordrhein-Westfalen,cdu,34801,31639
108,Neuss I,Nordrhein-Westfalen,cdu,57443,48164
109,Mönchengladbach,Nordrhein-Westfalen,cdu,45554,36555
110,Krefeld I – Neuss II,Nordrhein-Westfalen,cdu,51498,45633
111,Viersen,Nordrhein-Westfalen,cdu,62124,52898
112,Kleve,Nordrhein-Westfalen,cdu,63699,54792
113,Wesel I,Nordrhein-Westfalen,cdu,47447,42544
114,Krefeld II – Wesel II,Nordrhein-Westfalen,cdu,37026,32308
115,Duisburg I,Nordrhein-Westfalen,cdu,24299,23165
116,Duisburg II,Nordrhein-Westfalen,cdu,19402,18168
117,Oberhausen – Wesel III,Nordrhein-Westfalen,cdu,32276,30770
118,Mülheim – Essen I,Nordrhein-Westfalen,cdu,33091,32698
119,Essen II,Nordrhein-Westfalen,cdu,23735,21039
120,Essen III,Nordrhein-Westfalen,cdu,46639,37108
121,Recklinghausen I,Nordrhein-Westfalen,cdu,30845,27988
122,Recklinghausen II,Nordrhein-Westfalen,cdu,38326,33611
123,Gelsenkirchen,Nordrhein-Westfalen,cdu,21954,22091
124,Steinfurt I – Borken I,Nordrhein-Westfalen,cdu,62322,52625
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,cdu,39830,36814
126,Borken II,Nordrhein-Westfalen,cdu,70334,59104
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,cdu,65402,55228
128,Steinfurt III,Nordrhein-Westfalen,cdu,52445,42527
129,Münster,Nordrhein-Westfalen,cdu,51095,43788
130,Warendorf,Nordrhein-Westfalen,cdu,59635,51728
131,Gütersloh I,Nordrhein-Westfalen,cdu,71185,52422
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,cdu,40928,37355
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,cdu,45137,39769
134,Minden-Lübbecke I,Nordrhein-Westfalen,cdu,39675,35820
